"sample.id";"year";"month";"day";"station.id";"lat";"lon";"depth";"sex";"maturity_stage";"age";"length";"ungutted.weight";"gutted.weight";"liver.weight";"gonad.weight";"species"
44753;1990;3;11;24;65,6625;-26,2883333333333;191;"F";1;NA;58;NA;NA;NA;NA;8
44752;1990;3;11;25;65,7041666666667;-26,525;192;"M";1;NA;63;NA;NA;NA;NA;8
44750;1990;3;12;27;65,7864166666667;-26,7044166666667;287;"F";1;NA;49;NA;NA;NA;NA;8
44747;1990;3;12;30;65,9488333333333;-26,5029166666667;282;"F";1;NA;53;NA;NA;NA;NA;8
44746;1990;3;12;31;65,8554166666667;-26,3731666666667;269;"M";1;NA;57;NA;NA;NA;NA;8
44744;1990;3;12;33;65,8135;-25,7995;197,5;"M";1;NA;34;NA;NA;NA;NA;8
44739;1990;3;13;38;65,41525;-25,0949166666667;86,5;"F";1;NA;44;NA;NA;NA;NA;8
44736;1990;3;13;41;65,7245;-25,4099166666667;170;"M";1;NA;59;NA;NA;NA;NA;8
44731;1990;3;13;46;65,95225;-25,0863333333333;128,5;"M";1;NA;57;NA;NA;NA;NA;8
44717;1990;3;15;60;65,9700833333333;-24,937;112,5;"F";1;NA;39;NA;NA;NA;NA;8
44713;1990;3;16;64;66,2374166666667;-25,51225;162;"M";1;NA;41;NA;NA;NA;NA;8
44710;1990;3;16;67;65,9804166666667;-25,8089166666667;182,5;"F";1;NA;56;NA;NA;NA;NA;8
44707;1990;3;16;70;65,97425;-26,0369166666667;206;"M";1;NA;54;NA;NA;NA;NA;8
44704;1990;3;17;73;66,0366666666667;-26,2461666666667;245,5;"F";1;NA;22;NA;NA;NA;NA;8
44703;1990;3;17;74;66,1255;-26,0658333333333;276;"M";1;NA;28;NA;NA;NA;NA;8
44700;1990;3;17;77;66,2856666666667;-25,7565833333333;307;"F";1;NA;62;NA;NA;NA;NA;8
44699;1990;3;17;78;66,2831666666667;-25,8475833333333;370,5;"M";1;NA;40;NA;NA;NA;NA;8
44698;1990;3;17;79;66,2846666666667;-25,1355833333333;139;"M";1;NA;32;NA;NA;NA;NA;8
44695;1990;3;18;82;66,4013333333333;-24,1030833333333;123;"M";1;NA;41;NA;NA;NA;NA;8
44211;1990;3;6;2;64,5699166666667;-24,62125;233;"F";1;NA;37;NA;NA;NA;NA;8
44209;1990;3;6;4;64,7095833333333;-24,2748333333333;155,5;"M";1;NA;39;NA;NA;NA;NA;8
44204;1990;3;6;9;64,9235833333333;-25,5556666666667;173,5;"M";1;NA;35;380;300;NA;NA;8
44200;1990;3;7;13;64,77975;-26,4708333333333;195;"M";1;NA;59;NA;NA;NA;NA;8
44198;1990;3;7;15;64,9585;-26,2999166666667;169,5;"M";1;NA;54;1500;1380;NA;NA;8
44195;1990;3;7;18;64,87925;-27,2245833333333;396;"F";1;NA;62;2020;1980;NA;NA;8
44191;1990;3;8;22;64,0351666666667;-26,7188333333333;403;"M";1;NA;53;NA;NA;NA;NA;8
44189;1990;3;8;24;63,8408333333333;-25,7035833333333;239;"M";1;NA;54;1460;1300;NA;NA;8
44186;1990;3;8;27;64,2179166666667;-25,28875;267,5;"F";1;NA;52;NA;NA;NA;NA;8
44184;1990;3;8;29;64,3758333333333;-25,0214166666667;223;"F";1;NA;46;NA;NA;NA;NA;8
44183;1990;3;8;30;64,2606666666667;-24,8245833333333;181,5;"M";1;NA;56;1580;1540;NA;NA;8
44180;1990;3;9;33;64,11775;-24,7488333333333;219,5;"M";1;NA;32;NA;NA;NA;NA;8
44179;1990;3;9;34;64,1476666666667;-24,813;203,5;"M";1;NA;50;NA;NA;NA;NA;8
44178;1990;3;9;35;64,1401666666667;-24,95625;202;"M";1;NA;32;NA;NA;NA;NA;8
44173;1990;3;9;40;64,08225;-23,5244166666667;128;"M";1;NA;42;NA;NA;NA;NA;8
44171;1990;3;9;42;64,2339166666667;-23,5365833333333;118;"F";1;NA;30;NA;NA;NA;NA;8
44169;1990;3;10;44;64,57925;-23,6668333333333;135;"M";1;NA;49;NA;NA;NA;NA;8
44160;1990;3;10;53;63,7415833333333;-23,6058333333333;151,5;"M";1;NA;60;NA;NA;NA;NA;8
44159;1990;3;11;54;63,6125833333333;-23,998;157;"F";1;NA;20;NA;NA;NA;NA;8
44159;1990;3;11;54;63,6125833333333;-23,998;157;"M";1;NA;49;NA;NA;NA;NA;8
44157;1990;3;11;56;63,784;-24,1998333333333;173;"M";2;NA;100;NA;NA;NA;NA;8
44154;1990;3;11;59;63,775;-24,42;313,5;"M";1;NA;38;NA;NA;NA;NA;8
44269;1990;3;12;72;63,235;-22,7820833333333;279,5;"M";1;NA;44;NA;NA;NA;NA;8
44388;1990;3;12;77;63,464;-22,0166666666667;175,5;"M";1;NA;51;NA;NA;NA;NA;8
